lsoa21cd,mean_delay,vehicle_count
E01006368,1.4,20
E01006368,2.32,15
E01006368,1.26,20
E01006349,3.19,17
E01006349,2.29,13
E01006349,2.84,16
E01006365,1.93,19
E01006364,2.08,19
E01006365,1.74,19
E01006365,1.74,14
E01006349,1.86,14
E01006349,1.97,13
E01006368,2.95,15
E01006368,1.13,20
E01006368,3.34,15
E01006368,1.05,20
E01006184,5.11,2
E01006184,3.12,1
E01006184,7.91,1
E01006165,7,2
E01006165,3.26,1
E01006165,9.35,1
E01006165,6.23,2
E01006165,3.39,1
E01006165,8.51,1
E01006149,7.5,2
E01006149,3.63,1
E01006149,8.45,1
E01006160,8.48,2
E01006160,5.18,1
E01006160,9.02,1
E01006150,7.85,2
E01006150,4.64,1
E01006150,8.85,1
E01006151,7.9,2
E01006151,3.6,1
E01006151,11.31,1
E01006151,7.3,2
E01006151,2.92,1
E01006151,10.96,1
E01006100,5.08,4
E01006151,4.79,4
E01006151,5.06,5
E01006100,4.42,5
E01006150,6.2,4
E01006149,5.64,4
E01006149,5.53,4
E01006165,5.54,3
E01006154,5.27,3
E01006107,3.34,3
E01006107,4.3,2
E01006107,2.05,1
E01006107,4.3,1
E01006107,3.65,3
E01006107,4.77,2
E01006107,1.82,1
E01006107,5.15,1
E01006200,4.84,2
E01006200,1.48,1
E01006200,5.35,1
E01006107,5.16,4
E01006107,4.46,2
E01006107,1.97,1
E01006107,5.49,1
E01006104,3.4,2
E01006104,-0.81,1
E01006104,1.86,1
E01006148,6.39,5
E01006170,4.64,4
E01006170,4.84,4
E01006169,4.97,4
E01006171,5.04,2
E01006171,2.42,1
E01006171,6.25,1
E01006171,4.77,2
E01006171,2,1
E01006171,6.03,1
E01006169,5.16,2
E01006169,1.89,1
E01006169,6.71,1
E01006170,4.78,2
E01006170,1.4,1
E01006170,6.87,1
E01006170,4.69,2
E01006170,1.73,1
E01006170,7.84,1
E01006148,5.08,2
E01006148,2.03,1
E01006148,7.89,1
E01006147,5.18,2
E01006147,2.64,1
E01006147,7.51,1
E01006170,4.97,2
E01006170,2.48,1
E01006170,7.34,1
E01006154,5.08,4
E01006170,6.67,5
E01006147,6.58,5
E01006148,6.7,5
E01006170,6.53,5
E01006169,6.72,5
E01006169,5.32,2
E01006169,2.35,1
E01006169,6.49,1
E01006089,5.91,2
E01006089,3.63,1
E01006089,7.1,1
E01006080,2.59,5
E01006078,5.72,2
E01006078,2.9,1
E01006078,6.88,1
E01006080,3.68,4
E01006080,4.84,2
E01006080,1.81,1
E01006080,5.58,1
E01006080,4.75,2
E01006096,5.42,4
E01006100,6.76,2
E01006100,3.26,1
E01006100,10.6,1
E01006087,3.24,2
E01006087,-0.61,1
E01006105,3.51,2
E01006105,-0.2,1
E01006104,3.5,2
E01006104,-0.48,1
E01006104,2.98,1
E01006107,4.84,2
E01006107,0.64,1
E01006107,3.76,1
E01006107,3.97,2
E01006107,0.86,1
E01006107,3.36,1
E01006107,4.58,2
E01006107,0.5,1
E01006107,4.12,1
E01006107,4.93,2
E01006107,0.88,1
E01006107,4.54,1
E01006107,4.42,2
E01006107,1.4,1
E01006107,4.12,1
E01006107,4.7,2
E01006107,1.78,1
E01006107,4.66,1
E01006107,4.11,2
E01006107,1.22,1
E01006107,4.14,1
E01006107,4.08,2
E01006107,1.27,1
E01006107,4.31,1
E01006107,3.39,3
E01006107,2.59,3
E01006107,3.22,2
E01006107,2.34,2
E01006107,1.82,2
E01006107,1.22,2
E01006107,1.14,2
E01006104,0.08,2
E01006104,3.6,3
E01006104,4.55,3
E01006105,4.32,5
E01006105,4.87,5
E01006105,2.81,2
E01006105,-0.77,1
E01006087,4.39,5
E01006087,5.7,4
E01006089,3.39,5
E01006089,5.65,4
E01006096,5.81,4
E01006096,6,4
E01006094,5.61,4
E01006151,6.58,2
E01006151,2.84,1
E01006151,10.27,1
E01006103,7.04,2
E01006103,3.13,1
E01006103,10.29,1
E01006096,7.23,2
E01006096,3.28,1
E01006096,9.53,1
E01006096,6.94,2
E01006096,3.78,1
E01006096,9.07,1
E01006089,6.96,2
E01006089,3.47,1
E01006089,8.8,1
E01006089,7.04,2
E01006089,3.09,1
E01006089,8.31,1
E01006087,-0.14,1
E01006087,-1.14,1
E01006087,3.19,2
E01006087,-0.9,1
E01005074,6.53,3
E01005090,2.42,4
E01005090,2.82,5
E01005319,5.26,5
E01005319,2.92,4
E01005319,2.9,4
E01005316,5.04,5
E01005316,3.41,4
E01005316,4.87,5
E01005071,0.78,5
E01005071,5.74,4
E01005070,2.17,5
E01005070,5.91,3
E01005315,2.33,5
E01006210,1.93,6
E01006210,7.37,5
E01005113,1.58,6
E01005315,3.15,5
E01005316,3.21,4
E01005315,3.27,4
E01005090,2.05,5
E01005117,7.42,4
E01005113,2.46,6
E01005113,7.47,5
E01005112,6.9,3
E01005112,6.87,3
E01005112,3.4,6
E01005117,6.89,3
E01005117,2.45,6
E01005117,6.26,3
E01005117,2.02,6
E01005117,1.66,6
E01005074,1.87,5
E01005073,2.3,5
E01005074,6.04,3
E01005074,2.26,5
E01005074,6.08,3
E01005074,1.56,5
E01005074,6.56,3
E01005072,5.24,3
E01005070,2.4,5
E01005070,5.55,3
E01005075,5.68,3
E01005075,1.55,5
E01005070,6.79,4
E01005070,1.9,5
E01005070,6.62,4
E01005070,2.23,5
